epoch,loss,val_loss
0,1.1920930376163597e-07,1.1920930376163597e-07
1,1.1920930376163597e-07,1.1920930376163597e-07
2,1.1920930376163597e-07,1.1920930376163597e-07
3,1.1920930376163597e-07,1.1920930376163597e-07
4,1.1920930376163597e-07,1.1920930376163597e-07
5,1.1920930376163597e-07,1.1920930376163597e-07
6,1.1920930376163597e-07,1.1920930376163597e-07
7,1.1920930376163597e-07,1.1920930376163597e-07
8,1.1920930376163597e-07,1.1920930376163597e-07
9,1.1920930376163597e-07,1.1920930376163597e-07
10,1.1920930376163597e-07,1.1920930376163597e-07
11,1.1920930376163597e-07,1.1920930376163597e-07
12,1.1920930376163597e-07,1.1920930376163597e-07
13,1.1920930376163597e-07,1.1920930376163597e-07
14,1.1920930376163597e-07,1.1920930376163597e-07
15,1.1920930376163597e-07,1.1920930376163597e-07
16,1.1920930376163597e-07,1.1920930376163597e-07
17,1.1920930376163597e-07,1.1920930376163597e-07
18,1.1920930376163597e-07,1.1920930376163597e-07
19,1.1920930376163597e-07,1.1920930376163597e-07
20,1.1920930376163597e-07,1.1920930376163597e-07
21,1.1920930376163597e-07,1.1920930376163597e-07
22,1.1920930376163597e-07,1.1920930376163597e-07
23,1.1920930376163597e-07,1.1920930376163597e-07
24,1.1920930376163597e-07,1.1920930376163597e-07
