COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
3.0,0.0,4212.8205128205145,4960.512820512822,4150.256410256412,4208.71794871795,4238.97435897436,4197.435897435899,4177.435897435899,4189.743589743592,4185.128205128207,4183.076923076925,4193.846153846155,4203.589743589745,4205.128205128207,4187.179487179489,784.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
4.0,0.0,4204.102564102565,4950.769230769232,4193.333333333335,4201.538461538463,4256.410256410258,4195.897435897437,4198.46153846154,4183.076923076925,4176.410256410258,4186.153846153848,4188.71794871795,4203.076923076925,4206.666666666668,4186.153846153848,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
5.0,0.0,4206.666666666668,4951.282051282053,4214.3589743589755,4207.179487179489,4259.487179487181,4200.512820512822,4205.128205128207,4185.128205128207,4176.923076923078,4191.794871794873,4196.923076923078,4208.71794871795,4208.20512820513,4189.23076923077,785.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
6.0,0.0,4206.666666666668,4948.71794871795,4188.71794871795,4214.3589743589755,4250.256410256412,4197.94871794872,4179.487179487181,4182.564102564104,4176.410256410258,4189.743589743592,4192.307692307694,4210.769230769232,4200.512820512822,4188.20512820513,806.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
7.0,0.0,4195.384615384617,4933.333333333335,4155.897435897437,4199.487179487181,4242.564102564104,4186.153846153848,4163.589743589745,4182.051282051283,4181.538461538463,4186.153846153848,4185.128205128207,4208.71794871795,4194.871794871797,4184.102564102565,819.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
8.0,0.0,4196.410256410258,4932.307692307693,4142.051282051283,4192.307692307694,4239.487179487181,4181.538461538463,4176.410256410258,4190.769230769232,4181.538461538463,4187.692307692309,4189.743589743592,4205.128205128207,4196.410256410258,4184.615384615386,649.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
9.0,0.0,4210.769230769232,4941.538461538463,4188.20512820513,4204.102564102565,4258.97435897436,4194.3589743589755,4195.897435897437,4190.769230769232,4176.923076923078,4186.153846153848,4193.333333333335,4209.23076923077,4194.3589743589755,4185.641025641027,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
10.0,0.0,4203.589743589745,4930.256410256412,4245.641025641027,4201.0256410256425,4277.94871794872,4202.564102564104,4210.256410256412,4185.128205128207,4179.487179487181,4185.128205128207,4185.128205128207,4202.564102564104,4185.641025641027,4182.051282051283,855.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0
11.0,0.0,4191.282051282053,4916.923076923078,4215.384615384617,4194.871794871797,4257.94871794872,4192.307692307694,4201.0256410256425,4183.076923076925,4176.410256410258,4187.179487179489,4182.051282051283,4198.46153846154,4180.000000000002,4176.410256410258,827.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
12.0,0.0,4207.179487179489,4925.128205128207,4131.282051282053,4203.589743589745,4224.102564102565,4187.179487179489,4165.641025641027,4183.076923076925,4170.769230769232,4186.666666666668,4190.256410256412,4210.256410256412,4188.71794871795,4186.666666666668,850.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0
13.0,0.0,4209.23076923077,4922.564102564104,4121.538461538463,4201.538461538463,4232.8205128205145,4197.435897435899,4166.153846153848,4186.153846153848,4174.3589743589755,4184.615384615386,4189.743589743592,4209.23076923077,4194.871794871797,4193.333333333335,406.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
14.0,0.0,4193.846153846155,4907.692307692309,4204.615384615386,4192.8205128205145,4269.23076923077,4202.564102564104,4211.282051282053,4186.153846153848,4183.589743589745,4186.666666666668,4191.794871794873,4207.692307692309,4192.307692307694,4182.564102564104,855.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
15.0,0.0,4203.589743589745,4913.333333333335,4244.615384615386,4200.000000000002,4267.179487179489,4201.0256410256425,4227.692307692309,4183.589743589745,4186.153846153848,4186.666666666668,4204.615384615386,4209.743589743592,4196.410256410258,4184.615384615386,827.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
16.0,0.0,4216.410256410258,4921.538461538463,4165.128205128207,4206.153846153848,4237.435897435899,4196.923076923078,4180.512820512822,4189.23076923077,4184.615384615386,4186.153846153848,4208.71794871795,4209.23076923077,4202.051282051283,4195.384615384617,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
17.0,0.0,4208.20512820513,4915.384615384617,4074.358974358976,4200.000000000002,4216.410256410258,4189.743589743592,4143.076923076925,4204.102564102565,4188.71794871795,4188.20512820513,4203.076923076925,4211.794871794873,4201.0256410256425,4197.94871794872,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
18.0,0.0,4208.20512820513,4910.769230769232,4134.3589743589755,4200.000000000002,4236.923076923078,4183.589743589745,4179.487179487181,4208.71794871795,4196.410256410258,4185.128205128207,4208.71794871795,4210.769230769232,4204.615384615386,4197.435897435899,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
19.0,0.0,4212.8205128205145,4904.102564102565,4289.23076923077,4201.538461538463,4296.923076923078,4186.666666666668,4234.871794871797,4191.282051282053,4188.71794871795,4184.102564102565,4203.076923076925,4210.256410256412,4198.46153846154,4185.641025641027,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
20.0,0.0,4195.897435897437,4886.153846153848,4310.256410256412,4196.410256410258,4299.487179487181,4196.923076923078,4241.0256410256425,4177.435897435899,4172.8205128205145,4192.8205128205145,4178.46153846154,4205.641025641027,4177.94871794872,4172.307692307694,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
21.0,0.0,4195.384615384617,4879.487179487181,4134.871794871797,4198.46153846154,4215.384615384617,4198.46153846154,4176.923076923078,4189.743589743592,4180.000000000002,4194.3589743589755,4194.3589743589755,4208.20512820513,4193.846153846155,4189.23076923077,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
22.0,0.0,4209.23076923077,4883.589743589745,3982.0512820512836,4202.564102564104,4170.256410256412,4190.256410256412,4115.384615384617,4203.076923076925,4190.256410256412,4184.615384615386,4225.128205128207,4219.487179487181,4222.564102564104,4211.282051282053,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
23.0,0.0,4200.000000000002,4876.923076923078,4093.333333333335,4197.94871794872,4237.435897435899,4190.256410256412,4165.128205128207,4193.846153846155,4181.538461538463,4181.538461538463,4208.71794871795,4210.256410256412,4206.666666666668,4195.897435897437,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
24.0,0.0,4194.871794871797,4873.333333333335,4346.153846153848,4196.923076923078,4317.94871794872,4202.564102564104,4270.769230769232,4184.102564102565,4175.384615384617,4186.666666666668,4190.256410256412,4206.153846153848,4190.769230769232,4185.641025641027,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
25.0,0.0,4203.589743589745,4875.384615384617,4359.487179487181,4199.487179487181,4292.307692307694,4202.051282051283,4258.46153846154,4194.871794871797,4183.589743589745,4188.20512820513,4208.71794871795,4211.794871794873,4205.641025641027,4199.487179487181,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
26.0,0.0,4198.97435897436,4870.256410256412,4133.846153846155,4198.46153846154,4214.871794871797,4188.20512820513,4156.923076923078,4202.051282051283,4188.71794871795,4183.589743589745,4215.897435897437,4209.23076923077,4207.179487179489,4200.512820512822,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
27.0,0.0,4190.769230769232,4860.000000000002,4068.2051282051298,4197.94871794872,4216.410256410258,4189.743589743592,4150.769230769232,4186.153846153848,4178.97435897436,4188.20512820513,4202.564102564104,4208.71794871795,4194.871794871797,4187.692307692309,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
28.0,0.0,4188.20512820513,4854.871794871797,4218.97435897436,4196.410256410258,4276.410256410258,4200.512820512822,4219.487179487181,4175.897435897437,4166.153846153848,4197.435897435899,4192.8205128205145,4204.102564102565,4196.923076923078,4182.051282051283,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
29.0,0.0,4190.256410256412,4856.923076923078,4287.179487179489,4197.94871794872,4282.051282051283,4203.076923076925,4227.692307692309,4183.589743589745,4172.8205128205145,4194.3589743589755,4195.384615384617,4206.666666666668,4202.051282051283,4183.589743589745,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
30.0,0.0,4203.589743589745,4861.538461538463,4161.538461538463,4204.102564102565,4225.128205128207,4196.410256410258,4163.076923076925,4187.179487179489,4185.128205128207,4184.615384615386,4209.23076923077,4212.307692307694,4204.102564102565,4185.641025641027,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
31.0,0.0,4205.641025641027,4863.589743589745,4055.384615384617,4202.051282051283,4203.589743589745,4198.46153846154,4135.897435897437,4194.3589743589755,4185.128205128207,4185.641025641027,4215.897435897437,4209.743589743592,4204.615384615386,4187.179487179489,0.0,2047.0,2048.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
